"Nama Sekolah";"Alamat";"Telpon";"Fax";"Kota";"Site"
"MTS. Darussalam 31";"Pagesangan 12 ";"-";"-";"Surabaya";
"MTS. Ittaqu";"Jl. Moris 6 ";"-";"-";"Surabaya";
"MTS. At Tauhid";"JI.Sidoresmo Dalarn 11/37 ";"-";"-";"Surabaya";
"MTS. Baiturrahman";"JI.Jagir Sidoresrno 11112.-4 ";"-";"-";"Surabaya";
"MTS. Miftahul Huda 31";"Krukah Utara 78 ";"-";"-";"Surabaya";
"MTS. Pers. MIN";"JI.Pulo Wonokromo Wtn 1153";"-";"-";"Surabaya";
"MTS. Bahagia";"JI.Gunungsari 1 ";"-";"-";"Surabaya";
"MTS. Yapisthon";"JI.Pulo Wonokromo 67 Shy";"-";"-";"Surabaya";
"MTS. Aisyah";"JI.Pulo Wonokromo 140-C";"-";"-";"Surabaya";
"MTS. Raden Rahmat";"JI.Karang Rejo IXII ";"-";"-";"Surabaya";
"MTS. Al Furqon";"JI.Wonokrorno IV/23 ";"-";"-";"Surabaya";
"MTS. Al Midayah";"JI.Petemon 111193 ";"-";"-";"Surabaya";
"MTS. At Midayah";"JI.Kebraon 11115 ";"-";"-";"Surabaya";
"MTS. Miftahul ulum 31.";"Warugunung ";"-";"-";"Surabaya";
"MTS. Nurul Huda";"JI.Kedurus 111/Maasjid ";"-";"-";"Surabaya";
"MTS. Babrul Ulum";"JI.Wiyung Karangpilang ";"-";"-";"Surabaya";
"MTS. Darul Arqom";"Raya Griya Babadan Indah 35 1 7";"-";"-";"Surabaya";
"MTS Badrus Salam";"Jl. Pradah Kalikendal 18";"-";"-";"Surabaya";
"MTS. At Aziez";"Jl.Semut IVII 5-17 ";"-";"-";"Surabaya";
"MTS. Nurul Qomar";"JI.Dapuan Baru 35 ";"-";"-";"Surabaya";
"MTS. Multdah";"JI.Kalimas Baru V8 ";"-";"-";"Surabaya";
"MTS. Miftahul Ulum";"JI.Panggung LX/42 ";"-";"-";"Surabaya";
"MTS. Al Amin";"JI.Kalimas Baru 111115  19";"-";"-";"Surabaya";
"MTS. Al Ghozali II";"JI.Hangtuah VV53 ";"031-3293603";"-";"Surabaya";
"MTS. Darul Barokah";"JI.Jatipurwo IV/14-A ";"031-3297014";"-";"Surabaya";
"MTS. Darul Ulum";"JI.Wonokusumo Tengah 36 ";"-";"-";"Surabaya";
"MTS. Nahdhatul Atfal";"Jl. Bulak Jaya lIV39";"031- 3721223";"-";"Surabaya";
"MTS. Islamiyah";"JI.Wonokusumo Wet.V/21 ";"031-3769604";"-";"Surabaya";
"MTS. Lif Wathon";"Jl. Won. Tengah 53";"031–3724317";"-";"Surabaya";
"MTS. Tambak deres";"JI.Bulak BogarAmi 111129 ";"-";"-";"Surabaya";
"MTS. Nurul Hidayah";"Jl.Pogot 1115-1? ";"-";"-";"Surabaya";
"MTS. Al Mustofa";"JI.Tamabk Deres IV ";"-";"-";"Surabaya";
"MTS. Muhammadiyah 25";"JL..Sidotopo Wetan I Dalam 18";"-";"-";"Surabaya";
"MTS. Nurul Yaqin";"JI.Kedung Cowek ";"-";"-";"Surabaya";
"MTS. KH.Romly Tamim";"JI.Kenjeran Pantai ";"-";"-";"Surabaya";
"MTS. Uswatun Hasanah";"JI.Suropati IV/ ";"-";"-";"Surabaya";
"MTS. Al Mutmainah";"JI.Cumpat GG.TPI ";"-";"-";"Surabaya";
"MTS. Roudhotul Ulum";"JI.Bulak Banteng Baru Kamboja";"-";"-";"Surabaya";
"MTS. Muslimat NU.";"JI.Bulak Banteng ";"-";"-";"Surabaya";
"MTS. Darut Tauhid";"Jl. Dukuh Bulak Banteng 1111";"-";"-";"Surabaya";
"MTS. Tahsinul Akhlaq B.U";"Kedinding Tengah Baru IV/";"-";"-";"Surabaya";
"MTS. Ihyaul Ulum";"Bulak Banteng Bheneka VIIII";"-";"-";"Surabaya";
"MTS. Darus Salam";"Bulak Banteng Kidul IV/7";"-";"-";"Surabaya";
