"Nama"	"Alamat"	"Telpon"	"Kota"	"Website"
"MASJID BAITUL MAKMUR"	"Jl. Gunung Merbuk No. 4, Perumahan Monang Maning"	0	"Denpasar"	
"MASJID BAITURRAHMAH"	"Jl. Ahmad Yani, Gang II, Dusun Wanasari"	0	"Denpasar"	
"MASJID CHANDRA ASRI"	"Jl. By Pass Prof. Dr. Ida Bagus Mantra, Perumahan Puri Chandra Asri"	0	"Denpasar"	
"MASJID DARUL HUDA"	"Jl. Letda Ngurah Putra No. 11, Dangin Puri Kelod"	0	"Denpasar"	
"MASJID DARUSSALAM"	"Jl. HOS Cokroaminoto No. 155, Ubung"	0	"Denpasar"	
"MASJID NURUT TAQWA"	"Jl. Kapten Japa"	0	"Denpasar"	
"MASJID RAYA UKHUWWAH"	"Jl. Kalimantan No. 19"	0	"Denpasar"	
"MASJID SADAR"	"Jl. Tegalwangi Gang Kenanga No. 13, Sesetan"	0	"Denpasar"	
"MASJID SUCI"	"Jl. Pulau Buru No. 56"	0	"Denpasar"	
"MUSHOLLA AL AMANAH"	"Kompleks Gedung Keuangan Negara - Jl. dr. Kusuma Atmaja, Renon"	0	"Denpasar"	
"MUSHOLLA AL FALAH"	"Jl. Kerta Rahayu, Sidakarya"	0	"Denpasar"	
"MUSHOLLA AL FITRAH"	"Jl. Gunung Mangu No. 3, Perumahan Monang-Maning"	0	"Denpasar"	
"MUSHOLLA AL GHUROBA"	"Jl. Pulau Ceningan No. 4"	0	"Denpasar"	
"MUSHOLLA AL IKHLAS"	"Jl. Diponegoro Gang V A, Pesanggaran"	0	"Denpasar"	
"MUSHOLLA AL IKHLAS"	"Kompleks Gedung Keuangan Negara (GKN) II - Jl. Kapten Tantular No. 4"	0	"Denpasar"	
"MUSHOLLA AL IKHLAS"	"Jl. Pulau Misol Gang IV A No. 2, Dauh Puri Kauh"	0	"Denpasar"	
"MUSHOLLA AL MUAWWANATUL KHOIRIYAH"	"Jl. Suwung Batan Kendal, Kampung Bugis, Sesetan"	0	"Denpasar"	
"MUSHOLLA AL MUHAJIRIN"	"Jl. Gunung Sari No. 25, Perumahan Monang Maning"	0	"Denpasar"	
"MUSHOLLA AL MUHTADIN"	"Jl. Surapati Gang IV No. 22 A"	0	"Denpasar"	
"MUSHOLLA AL QOMAR"	"Jl. Pura Demak, Teuku Umar Barat, Pemecutan Kelod"	0	"Denpasar"	
"MUSHOLLA AN NAJAH"	"Jl. Dewi Madri IX No. 6, Tanjung Bungkak"	0	"Denpasar"	
"MUSHOLLA AN NUR"	"Jl. Pulau Selayar No. 41"	0	"Denpasar"	
"MUSHOLLA AR RAHMAN"	"Jl. Puputan IV Gang I"	0	"Denpasar"	
"MUSHOLLA AT TAWWABIN"	"Jl. Pulau Misol Gang XX No. 17"	0	"Denpasar"	
"MUSHOLLA BAITUL MU'MININ"	"Jl. Tukad Pakerisan Gang XV A, Panjer"	0	"Denpasar"	
"MUSHOLLA MARGA UTAMA"	"Jl. Dewi Kunti No. 5, Tanjung Bungkak"	0	"Denpasar"	
"MUSHOLLA NURUL IMAN"	"Jl. Taman Pancing, Kampung Islam Kepaon, Pemogan"	0	"Denpasar"	
"MASJID AL MUJAHIDIN"	"Jl. Raya Kuta, Gang Rai Yasa"	0	"Kuta"	
"MASJID AR RAHMAT"	"Jl. Raya Kuta No. 75"	0	"Kuta"	
"MASJID ASASUT TAQWA"	"Jl. I Gusti Ngurah Rai, Kampung Bugis, Tuban, Kec. Kuta"	0	"Kab. Badung"	
"MASJID BAITUT TAUBAH"	"Jl. I Gusti Ngurah Rai, Kampung Bugis, Tuban, Kec. Kuta"	0	"Kab. Badung"	
"MASJID NURUL HUDA"	"Jl. Sentani No. 3, Bandara Ngurah Rai, Tuban, Kec. Kuta"	0	"Kab. Badung"	
"MASJID RAYA ISTIQOMAH"	"Jl. Kuta Permai II No. 22, Perumahan Kuta Permai"	0	"Kuta"	
"MUSHOLLA AL AMIN"	"Jl. Raya Kuta, Kompleks Kompi Senapan A Yonif 900, Tuban, Kec. Kuta"	0	"Kab. Badung"	
"MUSHOLLA AL IKHLAS"	"Jl. Baucau No. 7 A, Kompleks Perumahan Angkasa Pura, Tuban, Kec. Kuta"	0	"Kab. Badung"	
"MUSHOLLA MINHAJUL ATHFAL"	"Jl. Kediri No. 17, Tuban, Kec. Kuta"	0	"Kab. Badung"	
"MUSHOLLA AL HIDAYAH"	"Jl. Goa Gong No. 5, Ungasan, Kec. Kuta Selatan"	0	"Kab. Badung"	
"MUSHOLLA PUSAT KEGIATAN UMAT ISLAM PURI GADING JIMBARAN"	"Jl. Raya Puri Gading Blok B 1 No. 10, Perumahan Puri Gading"	0	"Jimbaran"	
"MASJID AL IHSAAN"	"Jl. Hang Tuah, Kompleks Inna Grand Bali Beach Hotel, Sanur"	0	"Denpasar"	
"MASJID AS SYUHADA"	"Kampung Bugis, Kelurahan Serangan"	0	"Pulau Serangan"	
"MASJID AL FATTAH"	"Jl. Danau Bratan Timur No. 5, Perumahan Taman Griya"	0	"Jimbaran"	
