"Nama";"Alamat";"Telpon";"Fax";"Kota";"Situs";"Cabang";"keg1";"keg2";"keg3";"keg4";"keg5";"keg6";"keg7";"keg8";"keg9";"keg10";"keg11";"keg12"
"Rumah Zakat";"Jl. Turangga No.25 C ";"022-7332407 ";"022-7332407 ";"Bandung";"http://rumahzakat.org";"-";"beasiswa";"laboratorium";"mobil juara";"perbaikan gizi";"kemah";"Rumah Bersalin Gratiis";"Layanan Bersalin Grat";"penyuluhan";"ambulance";"posyandu";"modal kerja";"pelatihan"
"Rumah Zakat1";"Ruko Lamlagang, Jl. Sultan Malikul Saleh, Kel. Lamlagang, Kec. Banda Raya";"0651-7429692 ";"-";"Aceh.";"-";"Rumah Zakat";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";
